id,name,county,state,countyFips,lat,lng,confidence,sourceDate,agencyType,address,city,subStation,jurisdictionId,jurisdictionName
agency-building-edina-police-4801-west-50th-street,Edina Police,Hennepin County,MN,27053,44.911253399684,-93.3482568007569,confirmed,,Police,4801 WEST 50TH STREET,EDINA,,agency-jurisdiction-edina-police,Edina Police
agency-building-minnetrista-public-safety-7701-county-road-110-west,Minnetrista Police,Hennepin County,MN,27053,44.9228758997657,-93.7192368008065,confirmed,,Police,7701 COUNTY ROAD 110 WEST,MINNETRISTA,,agency-jurisdiction-minnetrista-police,Minnetrista Police
agency-building-dayton-police-12260-south-diamond-lake-road,Dayton Police,Hennepin County,MN,27053,45.1994078993478,-93.4371475999286,confirmed,,Police,12260 SOUTH DIAMOND LAKE ROAD,DAYTON,,agency-jurisdiction-dayton-police,Dayton Police
agency-building-saint-anthony-police-3301-silver-lake-road-northeast,Saint Anthony Police,Hennepin County,MN,27053,45.0294928999885,-93.2173424999804,confirmed,,Police,3301 SILVER LAKE ROAD NORTHEAST,MINNEAPOLIS,,agency-jurisdiction-saint-anthony-police,Saint Anthony Police
agency-building-deephaven-police-20225-cottagewood-road,Deephaven Police,Hennepin County,MN,27053,44.9226747005048,-93.5369905000425,confirmed,,Police,20225 COTTAGEWOOD ROAD,DEEPHAVEN,,agency-jurisdiction-deephaven-police,Deephaven Police
agency-building-rogers-police-12913-main-street,Rogers Police,Hennepin County,MN,27053,45.1893683996112,-93.5528560999246,confirmed,,Police,12913 MAIN STREET,ROGERS,,agency-jurisdiction-rogers-police,Rogers Police
agency-building-crystal-police-4141-douglas-drive-north,Crystal Police,Hennepin County,MN,27053,45.0320144996009,-93.3604939992052,confirmed,,Police,4141 DOUGLAS DRIVE NORTH,CRYSTAL,,agency-jurisdiction-crystal-police,Crystal Police
agency-building-medina-police-2052-county-road-24,Medina Police,Hennepin County,MN,27053,45.0159110997152,-93.5744313998373,confirmed,,Police,2052 COUNTY ROAD 24,MEDINA,,agency-jurisdiction-medina-police,Medina Police
agency-building-mound-police-2415-wilshire-boulevard,Mound Police,Hennepin County,MN,27053,44.9341933001038,-93.6584990014165,confirmed,,Police,2415 WILSHIRE BOULEVARD,MOUND,,,
agency-building-osseo-police-415-central-avenue,Osseo Police,Hennepin County,MN,27053,45.1207259998662,-93.4025221998973,confirmed,,Police,415 CENTRAL AVENUE,OSSEO,,agency-jurisdiction-osseo-police,Osseo Police
