id,name,county,state,countyFips,lat,lng,confidence,sourceDate,operator,operatorType,manufacturer,cameraType,direction,zone,surveillance,osmId,osmUrl,crossSourceSiteId,crossSourceCount,crossSourceMeters,crossSourceThresholdM,crossSourceContested,crossSourceAnchorAmbiguous,crossSourceAgencyName
alpr-osm-13104746980,ALPR camera — Elk River Police Department,Sherburne County,MN,27141,45.3088071,-93.6026331,probabilistic,,Elk River Police Department,Police department,Flock Safety,fixed,320,,traffic,13104746980,https://www.openstreetmap.org/node/13104746980,,0,,50,false,false,
alpr-osm-13104746981,ALPR camera — Elk River Police Department,Sherburne County,MN,27141,45.3062212,-93.6089697,probabilistic,,Elk River Police Department,Police department,Flock Safety,fixed,140,,traffic,13104746981,https://www.openstreetmap.org/node/13104746981,,0,,50,false,false,
alpr-osm-13104746982,ALPR camera — Elk River Police Department,Sherburne County,MN,27141,45.3074032,-93.6023653,probabilistic,,Elk River Police Department,Police department,Flock Safety,fixed,100,police,traffic,13104746982,https://www.openstreetmap.org/node/13104746982,,0,,50,false,false,
alpr-osm-13115329799,ALPR camera — Blaine PD,Anoka County,MN,27003,45.16768,-93.2124447,probabilistic,,Blaine PD,Police department,Flock Safety,fixed,180,,,13115329799,https://www.openstreetmap.org/node/13115329799,,0,,50,false,false,
alpr-osm-13115347970,ALPR camera,Anoka County,MN,27003,45.1574175,-93.1474847,probabilistic,,,Not recorded,Flock Safety,fixed,200,,,13115347970,https://www.openstreetmap.org/node/13115347970,,0,,50,false,false,
alpr-osm-13115364042,ALPR camera — Blaine PD,Anoka County,MN,27003,45.1426948,-93.1888073,probabilistic,,Blaine PD,Police department,Flock Safety,fixed,240,traffic,,13115364042,https://www.openstreetmap.org/node/13115364042,,0,,50,false,false,
alpr-osm-13115549970,ALPR camera — Blaine PD,Anoka County,MN,27003,45.1404592,-93.2349262,probabilistic,,Blaine PD,Police department,Flock Safety,fixed,340,traffic,traffic,13115549970,https://www.openstreetmap.org/node/13115549970,,0,,50,false,false,
alpr-osm-13116870108,ALPR camera — City of Willmar - Police,Kandiyohi County,MN,27067,45.1191683,-95.0223394,probabilistic,,City of Willmar - Police,Police department,Flock Safety,fixed,150,,,13116870108,https://www.openstreetmap.org/node/13116870108,,0,,50,false,false,
alpr-osm-13116870109,ALPR camera — City of Willmar - Police,Kandiyohi County,MN,27067,45.1425074,-95.0207837,probabilistic,,City of Willmar - Police,Police department,Flock Safety,fixed,160,,,13116870109,https://www.openstreetmap.org/node/13116870109,,0,,50,false,false,
alpr-osm-13116930562,ALPR camera,Washington County,MN,27163,45.2876139,-92.9859738,probabilistic,,,Not recorded,Flock Safety,fixed,175,,,13116930562,https://www.openstreetmap.org/node/13116930562,,0,,50,false,false,
alpr-osm-13118370357,ALPR camera — Elk River Police Department,Sherburne County,MN,27141,45.3000273,-93.5176308,probabilistic,,Elk River Police Department,Police department,Flock Safety,fixed,230,,,13118370357,https://www.openstreetmap.org/node/13118370357,,0,,50,false,false,
alpr-osm-13118370358,ALPR camera — Elk River Police Department,Sherburne County,MN,27141,45.3586359,-93.6020756,probabilistic,,Elk River Police Department,Police department,Flock Safety,fixed,5,,,13118370358,https://www.openstreetmap.org/node/13118370358,,0,,50,false,false,
alpr-osm-13119598416,ALPR camera — City of Willmar - Police,Kandiyohi County,MN,27067,45.1221257,-95.0436692,probabilistic,,City of Willmar - Police,Police department,Flock Safety,fixed,300,,,13119598416,https://www.openstreetmap.org/node/13119598416,,0,,50,false,false,
alpr-osm-13119598417,ALPR camera — City of Willmar - Police,Kandiyohi County,MN,27067,45.1271332,-95.0837504,probabilistic,,City of Willmar - Police,Police department,Flock Safety,fixed,150,,,13119598417,https://www.openstreetmap.org/node/13119598417,cross-alpr-reported-willmar-police-department-30th-street-and-second-avenue-nw,1,48,50,false,false,Willmar Police Department
alpr-osm-13119598418,ALPR camera — City of Willmar - Police,Kandiyohi County,MN,27067,45.0947149,-95.0424293,probabilistic,,City of Willmar - Police,Police department,Flock Safety,fixed,330,,,13119598418,https://www.openstreetmap.org/node/13119598418,,0,,50,false,false,
alpr-osm-13119598419,ALPR camera — City of Willmar - Police,Kandiyohi County,MN,27067,45.1104541,-95.0429349,probabilistic,,City of Willmar - Police,Police department,Flock Safety,dome,,,,13119598419,https://www.openstreetmap.org/node/13119598419,,0,,50,false,false,
alpr-osm-13119598420,ALPR camera — City of Willmar - Police,Kandiyohi County,MN,27067,45.1104421,-95.0379958,probabilistic,,City of Willmar - Police,Police department,Flock Safety,dome,,,,13119598420,https://www.openstreetmap.org/node/13119598420,cross-alpr-reported-willmar-police-department-willmar-avenue-and-5th-street-se,1,20,50,false,false,Willmar Police Department
alpr-osm-13120048842,ALPR camera — South Lake Minnetonka Police Department,Hennepin County,MN,27053,44.8996497,-93.5690353,probabilistic,,South Lake Minnetonka Police Department,Police department,Flock Safety,fixed,180,traffic,,13120048842,https://www.openstreetmap.org/node/13120048842,,0,,50,false,false,
alpr-osm-13120128331,ALPR camera — South Lake Minnetonka Police Department,Hennepin County,MN,27053,44.9008049,-93.5892128,probabilistic,,South Lake Minnetonka Police Department,Police department,Flock Safety,fixed,190,,,13120128331,https://www.openstreetmap.org/node/13120128331,,0,,50,false,false,
alpr-osm-13125040564,ALPR camera — Faribault Police Department,Rice County,MN,27131,44.3194145,-93.2988429,probabilistic,,Faribault Police Department,Police department,Flock Safety,fixed,100,traffic,public,13125040564,https://www.openstreetmap.org/node/13125040564,,0,,50,false,false,
alpr-osm-13128356739,ALPR camera — South Lake Minnetonka PD,Hennepin County,MN,27053,44.9267008,-93.5926479,probabilistic,,South Lake Minnetonka PD,Police department,Flock Safety,fixed,120,,,13128356739,https://www.openstreetmap.org/node/13128356739,,0,,50,false,false,
alpr-osm-13128356740,ALPR camera — Orono Police Department,Hennepin County,MN,27053,44.9598694,-93.5587254,probabilistic,,Orono Police Department,Police department,Flock Safety,fixed,180,,,13128356740,https://www.openstreetmap.org/node/13128356740,,0,,50,false,false,
alpr-osm-13137599218,ALPR camera,Blue Earth County,MN,27013,44.1747159,-93.9563751,probabilistic,,,Not recorded,Flock Safety,fixed,218,traffic,public,13137599218,https://www.openstreetmap.org/node/13137599218,,0,,50,false,false,
